"name","Unit_Price","discount","Sequence","Quantity","Title","itemName","item_code","Field","label","cif_value","fti_value","obj_value","obj_type","data_text_field"
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,baffleRivetingCost,Baffle Riveting Cost,"5.814",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,a100mmTotalLayers,"100mm Total Layers","4",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,a100mmInfillArea,"100mm Infill Area","0.244",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,optionFlangeangle,Option (Flange/Angle),FTV450,Flange,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,a100mmInfillCost,"100mm Infill Cost","6.1488000000000005",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,casingOptions,Casing Options,FTV759,Assembly,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,a50mmTotalLayers,"50mm Total Layers","0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,a50mmInfillArea,"50mm Infill Area","0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,a50mmInfillCost,"50mm Infill Cost","0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,a25mmTotalLayers,"25mm Total Layers","0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,assemblyType,Assembly Type,Single,,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,a25mmInfillArea,"25mm Infill Area","0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,baseModuleWidth,Base Module Width,"150",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,a25mmInfillCost,"25mm Infill Cost","0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,baffleWidth,Baffle Width,"100",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,infillProtectionArea,Infill Protection Area,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,airwayWidth,Airway Width,"50",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,infillProtectionCost,Infill Protection Cost,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,modulesWoRounding,Modules w/o Rounding,"4",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfFullModules,# of Full Modules,"4",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfHalfModules,# of Half Modules,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfModules,# of Modules,"4",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,offsetWidth,Offset Width,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,halfBaffleWidth,Half Baffle Width,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,totalWidthSections,Total Width Sections,"1",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,widthw1,Width (W1),"600",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,heighth1,Height (H1),"100",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,lengthl1,Length (L1),"610",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,widthSection1,Width Section (1),"1",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,heightSection1,Height Section (1),"1",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,lengthSection1,Length Section (1),"1",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfSections1,No of Sections (1),"1",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,modules1,Modules 1,"4",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfFullBaffles1,# of Full Baffles (1),"4",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfHalfBaffles1,# of Half Baffles (1),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfTotalBaffles1,# of Total Baffles (1),"4",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,airwayFull1,Airway Full (1),"3",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,endAirwayWidth1,End Airway Width (1),"25",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,totalEndAirways1,Total End Airways (1),"2",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,widthw2,Width (W2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,heighth2,Height (H2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,lengthl2,Length (L2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,widthSection2,Width Section (2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,heightSection2,Height Section (2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,lengthSection2,Length Section (2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfSections2,No of Sections (2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,modules2,Modules 2,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfFullBaffles2,# of Full Baffles (2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfHalfBaffles2,# of Half Baffles (2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfTotalBaffles2,# of Total Baffles (2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,airwayFull2,Airway Full (2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,endAirwayWidth2,End Airway Width (2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,totalEndAirways2,Total End Airways (2),"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,noOfSections,No. of Sections,"1",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,maxWH,Max W & H,"600",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,casingUnique,Casing Unique,FTO1123,,FTOCasingRange1,FTOCasingRange,range
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,flangeangleUnique,Flange/Angle Unique,FTO1132,,FTOFlangeAngleRange1,FTOFlangeAngleRange,range
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,perfThickness,Perf Thickness Lookup,"0.6",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,casingThickness,Casing Thickness F,"0.8",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,casingArea1,Casing Area 1,"0.9394",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,casingArea2,Casing Area 2,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,casingWeight,Casing Weight,"5.899432",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,flangeSize,Flange Size,"20",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,flangeSizeLookup,Flange Size Lookup,FTO1144,,FTOCountryWiseCost321,FTOCountryWiseCost,product_name
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,angleSize,Angle Size,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,flangeQuantity,Flange Quantity,"2.8",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,flangeCost,Flange Cost,"4.704",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,angleQty,Angle Qty,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,angleCost,Angle Cost,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,flangeAngleRiveting,Flange/ Angle Riveting,"32",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,flangeAngleRivetingCost,Flange/ Angle Riveting Cost,"1.6320000000000001",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,corners,Corners,"8",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,cornersCost,Corners Cost,"1.6",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,rivets,Rivets,"49",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,rivetsCost,Rivets Cost,"2.499",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,sealant,Sealant,"1",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,sealantCost,Sealant Cost,"12",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,removableBaffleTrayArea,Removable Baffle Tray Area,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,removableBafleTrayWeight,Removable Bafle Tray Weight,"0",,,,
